name,party,votes,constituency
Rajendra Kumar K.C,Nepali Congress,14448,10
Himesh K.c,CPN UML,11786,10
Pradip Bista,Rastriya Swatantra Party,7347,10
Bal Ram Thapa,Rastriya Prajatantra Party,6277,10
Anjana Bisankhe,CPN Maoist,4260,10
Narayan Maharjan,Nepal Workers and Peasants Party,1776,10
Indra Bahadur Baral,Hamro Nepali Party,234,10
Srijana Bartaula,Maulik Jarokilo Party,0,10
Kumar Lama,Nagarik Unmukti Party,0,10
Purna Lal Shrestha,Rastriya Prajatantra Party Nepal,0,10
Dhan Keshar Suryabanshi,Rastriya Janamukti Party,0,10
Santa Prasad Shrestha,Nepali Congress (BP),0,10
Sanan Shrestha,Bibeksheel Sajha Party,0,10
Chet Bahadur Muktana,Aamul Pariwartan Mashika Party,0,10
Ganga Prasad Bhetal,Nepal Aama Party,0,10
Ram Kumar Thapa,Independent,0,10
Rambabu Thakur,Independent,0,10
Tilak Bahadur Rijal,Independent,0,10
